ind,pop,popshape,popcolor,region,regionshape,regioncolor
GMS128_1,GMS128,1,1,gal,1,1
GMS128_2,GMS128,1,1,gal,1,1
GMS137_1,GMS137,2,2,gal,1,1
GMS137_2,GMS137,2,2,gal,1,1
CP531_1,CP531,3,3,nig,2,2
CP531_2,CP531,3,3,nig,2,2
D2X_1,D2X,4,4,nig,2,2
D2X_2,D2X,4,4,nig,2,2
CP5_1,CP5,5,5,spic,3,3
CP5_2,CP5,5,5,spic,3,3
D47_1,D47,6,6,spic,3,3
D47_2,D47,6,6,spic,3,3
